,mark,count
0, 1992,1
1, 2001,1
2, 23000,1
3, BMW,6
4, Blazer k5,1
5, CSpark flamante,1
6, Camioneta FUDY,1
7, Chevette,1
8, Cinascar,1
9, Cualquiera,1
10, DATSUN 1200,1
11, DFSK,1
12, Datsun,2
13, De toda la Marca,1
14, Diferentes marcas,1
15, Domy x7,1
16, Dongfeng,1
17, FREICHLINER,1
18, Faw,2
19, Fyd,1
20, GMC,1
21, Geely,1
22, Hyumday H100,1
23, JAC,3
24, Krisler,1
25, Lada,1
26, Lada Samara,1
27, Land Rover,1
28, Lifan,2
29, Mercedes-Benz,4
30, Picaso,1
31, QMC,1
32, Reparación y Mant.,1
33, Skoda,12
34, Skoda Fabia,1
35, Soueast,1
36, Soueast DX3,1
37, Soueast DX3 2018 Ful,1
38, Ssssanyong Korando,1
39, Tata,2
40, Toda marca,1
41, Todas las marcas,2
42, Transporte mixto,1
43, Varios,1
44, Wuling,1
45, Zastava,1
46,Audi,4
47,Byd,6
48,Changan,4
49,Chery,24
50,Chevrolet,616
51,Chrysler,1
52,Citroen,8
53,DFSK,1
54,Daewoo,7
55,Daihatsu,4
56,Datsun,1
57,Dodge,6
58,Dongfeng,1
59,Fiat,21
60,Foday,1
61,Ford,119
62,Foton,6
63,Freightliner,1
64,GMC,1
65,Great Wall,44
66,Haval,5
67,Honda,32
68,Hyundai,192
69,JAC,4
70,Jeep,9
71,Kenworth,1
72,Kia,195
73,Lada,3
74,Mahindra,1
75,Mazda,76
76,Mercedes-Benz,7
77,Mitsubishi,48
78,NETLIFE,1
79,NISSA,2
80,Nissan,102
81,Peugeot,24
82,Plata,1
83,QMC,2
84,Renault,77
85,Skoda,4
86,Soueast,1
87,Ssangyong,2
88,Suzuki,63
89,Todas,1
90,Toyota,115
91,Volkswagen,111
92,Volvo,5
93,Zotye,11
94,gren well,1
95,multimarca,1
